filename,frameNum,obj_idx,xmin,ymin,xmax,ymax,confidence,class,name,w,h,scale
BasketballDrill_832x480_50.yuv,403,0,576.1544799804688,0.0,709.3345947265625,136.12623596191406,0.9125891923904419,0,person,133.18011474609375,136.12623596191406,1.0
BasketballDrill_832x480_50.yuv,403,1,248.91940307617188,53.855255126953125,395.20361328125,320.5815124511719,0.9037997722625732,0,person,146.28421020507812,266.72625732421875,1.0
BasketballDrill_832x480_50.yuv,403,2,497.69842529296875,300.4500732421875,678.84375,478.0126647949219,0.8474743366241455,0,person,181.14532470703125,177.56259155273438,1.0
BasketballDrill_832x480_50.yuv,403,3,234.27362060546875,416.006591796875,330.6495361328125,478.89044189453125,0.7745171785354614,0,person,96.37591552734375,62.88385009765625,1.0
BasketballDrill_832x480_50.yuv,403,4,322.2785949707031,0.0,405.98077392578125,62.630558013916016,0.5676231384277344,0,person,83.70217895507812,62.630558013916016,1.0
BasketballDrill_832x480_50.yuv,403,0,575.8244018554688,0.0,709.4050903320312,136.3483428955078,0.9178727269172668,0,person,133.5806884765625,136.3483428955078,0.9
BasketballDrill_832x480_50.yuv,403,1,248.8585662841797,53.818458557128906,395.5141296386719,320.31219482421875,0.9018644690513611,0,person,146.6555633544922,266.49373626708984,0.9
BasketballDrill_832x480_50.yuv,403,2,499.53125,300.7904052734375,678.6088256835938,478.11041259765625,0.8609306216239929,0,person,179.07757568359375,177.32000732421875,0.9
BasketballDrill_832x480_50.yuv,403,3,234.3990478515625,416.1567077636719,330.4373474121094,478.9134521484375,0.7911993861198425,0,person,96.03829956054688,62.756744384765625,0.9
BasketballDrill_832x480_50.yuv,403,4,320.93853759765625,0.0,405.99847412109375,62.54716110229492,0.5834637880325317,0,person,85.0599365234375,62.54716110229492,0.9
BasketballDrill_832x480_50.yuv,403,0,575.6969604492188,0.0,709.2068481445312,136.18824768066406,0.9173454642295837,0,person,133.5098876953125,136.18824768066406,0.7
BasketballDrill_832x480_50.yuv,403,1,248.62059020996094,53.637290954589844,395.6378173828125,320.7309265136719,0.9042893052101135,0,person,147.01722717285156,267.09363555908203,0.7
