filename,frameNum,obj_idx,xmin,ymin,xmax,ymax,confidence,class,name,w,h,scale
016_1920x1080_10.yuv,0,0,664.5988159179688,553.8328857421875,926.1474609375,772.7196044921875,0.9483535885810852,2,car,261.54864501953125,218.88671875,1.0
016_1920x1080_10.yuv,0,1,1787.3109130859375,576.6942138671875,1919.5928955078125,732.1622924804688,0.9412978291511536,2,car,132.281982421875,155.46807861328125,1.0
016_1920x1080_10.yuv,0,2,1571.57666015625,541.0738525390625,1812.791748046875,673.8262329101562,0.9315335154533386,2,car,241.215087890625,132.75238037109375,1.0
016_1920x1080_10.yuv,0,3,1350.2763671875,511.1922912597656,1466.8934326171875,578.28076171875,0.923239529132843,2,car,116.6170654296875,67.08847045898438,1.0
016_1920x1080_10.yuv,0,4,1160.7135009765625,504.7220764160156,1308.7152099609375,621.59619140625,0.9194130897521973,2,car,148.001708984375,116.87411499023438,1.0
016_1920x1080_10.yuv,0,5,937.1012573242188,511.50250244140625,1052.4886474609375,607.5802001953125,0.914411187171936,2,car,115.38739013671875,96.07769775390625,1.0
016_1920x1080_10.yuv,0,6,1450.1466064453125,518.0885009765625,1617.3890380859375,623.0514526367188,0.9034410119056702,2,car,167.242431640625,104.96295166015625,1.0
016_1920x1080_10.yuv,0,7,961.152099609375,407.56365966796875,1067.37939453125,537.4579467773438,0.7656261920928955,5,bus,106.227294921875,129.894287109375,1.0
016_1920x1080_10.yuv,0,8,1301.05322265625,497.321533203125,1376.181396484375,562.2249755859375,0.7422745823860168,2,car,75.128173828125,64.9034423828125,1.0
016_1920x1080_10.yuv,0,9,877.9535522460938,490.6875305175781,938.8538818359375,536.6736450195312,0.721265435218811,2,car,60.90032958984375,45.986114501953125,1.0
016_1920x1080_10.yuv,0,10,846.6896362304688,486.8644714355469,886.8148193359375,515.6295166015625,0.695185661315918,2,car,40.12518310546875,28.765045166015625,1.0
016_1920x1080_10.yuv,0,11,1102.1956787109375,492.36358642578125,1176.0987548828125,547.3787841796875,0.6582404375076294,2,car,73.903076171875,55.01519775390625,1.0
016_1920x1080_10.yuv,0,12,926.9608764648438,489.47967529296875,956.5303955078125,521.6859741210938,0.4821195602416992,2,car,29.56951904296875,32.206298828125,1.0
016_1920x1080_10.yuv,0,13,836.8814086914062,397.2871398925781,848.2211303710938,416.9533996582031,0.39624398946762085,9,traffic light,11.3397216796875,19.666259765625,1.0
016_1920x1080_10.yuv,0,14,1054.3349609375,492.12060546875,1092.63916015625,528.4412841796875,0.3224359452724457,2,car,38.30419921875,36.3206787109375,1.0
016_1920x1080_10.yuv,0,0,664.4954833984375,553.872802734375,926.0528564453125,772.7345581054688,0.9484379291534424,2,car,261.557373046875,218.86175537109375,0.9
016_1920x1080_10.yuv,0,1,1787.41015625,576.5769653320312,1919.5888671875,731.7385864257812,0.9413788914680481,2,car,132.1787109375,155.16162109375,0.9
016_1920x1080_10.yuv,0,2,1571.73095703125,540.664794921875,1812.7589111328125,673.8972778320312,0.9315088987350464,2,car,241.0279541015625,133.23248291015625,0.9
016_1920x1080_10.yuv,0,3,1160.6983642578125,504.3164978027344,1308.652587890625,621.5751953125,0.9248049259185791,2,car,147.9542236328125,117.25869750976562,0.9
016_1920x1080_10.yuv,0,4,1350.315185546875,511.2633361816406,1466.117431640625,578.0176391601562,0.9235315322875977,2,car,115.80224609375,66.75430297851562,0.9
016_1920x1080_10.yuv,0,5,937.2681884765625,511.2594909667969,1052.328857421875,607.552001953125,0.9170134663581848,2,car,115.0606689453125,96.29251098632812,0.9
016_1920x1080_10.yuv,0,6,1450.379150390625,518.3154296875,1617.3663330078125,622.9764404296875,0.9002040028572083,2,car,166.9871826171875,104.6610107421875,0.9
016_1920x1080_10.yuv,0,7,959.8055419921875,407.4544372558594,1067.452880859375,537.79541015625,0.7953783869743347,5,bus,107.6473388671875,130.34097290039062,0.9
016_1920x1080_10.yuv,0,8,1301.30029296875,497.27728271484375,1376.1895751953125,562.263671875,0.736560046672821,2,car,74.8892822265625,64.98638916015625,0.9
016_1920x1080_10.yuv,0,9,878.0555419921875,489.50860595703125,938.9791259765625,536.3007202148438,0.7271292805671692,2,car,60.923583984375,46.7921142578125,0.9
016_1920x1080_10.yuv,0,10,846.7130126953125,486.5047607421875,886.7501220703125,515.6465454101562,0.7025936245918274,2,car,40.037109375,29.14178466796875,0.9
016_1920x1080_10.yuv,0,11,1102.0501708984375,492.73040771484375,1175.239990234375,547.50146484375,0.66591876745224,2,car,73.1898193359375,54.77105712890625,0.9
016_1920x1080_10.yuv,0,12,927.098388671875,489.48870849609375,956.2910766601562,522.4244995117188,0.4673563539981842,2,car,29.19268798828125,32.935791015625,0.9
016_1920x1080_10.yuv,0,13,836.7838134765625,397.19781494140625,848.1204223632812,417.23175048828125,0.44949427247047424,9,traffic light,11.33660888671875,20.033935546875,0.9
016_1920x1080_10.yuv,0,14,1054.382568359375,491.94281005859375,1092.1971435546875,527.8536376953125,0.3896188735961914,2,car,37.8145751953125,35.91082763671875,0.9
